speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,teda_flag,prediction,kan_prediction,tflite_prediction
40,1451,23,30,12,1312.849976,-0.02,-0.02,-0.02,0,1,1,0
42,1573,25,32,13,1507.010010,0.01,-0.03,-0.04,0,1,1,0
44,1646,25,33,13,1596.209961,0,-0.03,-0.02,0,1,1,0
47,1712,25,32,13,1663.740112,0.02,-0.01,0.06,0,1,1,0
49,1761,25,32,13,1725.705078,-0.02,-0.04,-0.08,0,1,1,0
51,1835,25,32,14,1799.025024,-0.04,-0.03,0,0,1,1,0
53,1906,25,32,-7,1872.549927,0.05,0.01,0,0,1,1,0
55,1526,25,34,12,1791.570068,0.01,-0.03,-0.03,0,1,1,0
56,1555,25,34,12,1824.750000,0.01,-0.04,0.01,0,1,1,0
58,1579,25,34,12,1876.340088,0.01,-0.02,-0.04,0,1,1,0
58,1609,25,34,12,1890.140015,0.01,-0.04,-0.10,0,1,1,0
60,1634,25,34,12,1942.979980,-0.01,-0.03,-0.05,0,1,1,0
61,1670,25,34,13,1980.750000,0,-0.04,-0.01,1,1,1,0
61,1686,25,34,13,1988.349976,-0.01,-0.03,0,1,1,1,0
62,1697,21,26,15,1670.679932,0.04,0.01,0.03,0,1,1,0
62,1705,23,28,15,1802.249878,0.01,-0.02,0.03,0,1,1,0
62,1707,23,29,15,1823.185059,-0.01,-0.03,-0.03,0,1,1,0
62,1716,23,30,15,1847.359985,-0.01,-0.02,0.03,0,1,1,0
63,1717,23,29,15,1847.819946,0,-0.02,-0.02,0,1,1,1
63,1670,15,23,-5,1363.100098,-0.01,-0.04,0.03,0,1,1,0
61,1640,13,7,-6,999.600037,-0.06,-0.02,0.08,0,1,1,0
59,1589,13,7,-7,953.369995,0.04,-0.03,0.07,0,1,1,0
57,1529,12,7,-9,873.280029,-0.01,-0.01,0.11,0,1,1,0
54,1456,12,6,-5,796.799988,-0.04,-0.03,0.15,0,1,1,0
51,1371,12,5,-6,719.880005,-0.02,-0.03,0.23,0,1,1,1
47,1256,12,6,-3,650.840027,-0.03,-0.03,0.15,0,1,1,1
40,1296,12,7,-9,586.559998,0,-0.02,0.16,0,1,1,0
34,1245,12,6,-9,489,-0.03,-0.04,0.17,0,1,1,0
28,1111,12,6,-9,392.869995,0.08,-0.01,0.09,0,1,1,1
21,985,14,8,-4,345.824982,0.05,-0.04,0,0,1,1,1
17,964,11,7,-3,247.680008,-0.02,-0.03,-0.09,0,1,1,0
15,1416,21,29,-6,773.520020,0.05,0.01,-0.01,0,1,1,0
18,1650,22,29,12,904.750000,-0.03,0.01,-0.12,0,1,1,0
20,1834,25,32,14,1126.840088,0.04,0,-0.07,0,1,1,0
22,1988,25,33,14,1234.199951,0.01,-0.01,-0.13,0,1,1,0
24,2139,26,32,15,1326.919922,0,-0.03,-0.08,0,1,1,0
26,2323,27,33,15,1481.785034,0,-0.04,-0.05,0,1,1,0
29,2440,27,32,-7,1567.700073,0,-0.05,-0.05,0,1,1,0
30,1715,26,36,11,1423.949951,0.01,-0.05,-0.14,0,1,1,0
31,1671,29,36,11,1531.285034,-0.01,-0.04,-0.08,0,1,1,0
32,1626,29,38,11,1584.100098,0.01,-0.05,-0.06,0,1,1,0
34,1695,29,36,11,1608.250000,0,-0.07,-0.05,0,1,1,0
35,1756,29,36,11,1652.880005,0.01,-0.03,0.03,0,1,1,0
36,1789,29,36,11,1688.040039,0,-0.03,-0.06,0,1,1,0
37,1830,28,35,12,1666.800049,-0.01,-0.07,0.03,0,1,1,0
38,1860,27,33,12,1618.800049,-0.02,0.06,-0.22,0,1,1,0
39,1895,27,32,12,1631.225098,-0.03,0.09,-0.10,0,1,1,0
39,1917,27,32,12,1639.034912,-0.01,0.17,-0.12,0,1,1,0
40,1943,27,31,13,1648.265015,0,0.15,0.02,0,1,1,0
40,1982,26,30,13,1603.700073,0,0.14,-0.03,0,1,1,0
42,2039,26,30,13,1670.039917,-0.01,0.15,-0.04,0,1,1,0
43,1546,25,32,11,1517.250000,0.01,0.08,0,0,1,1,0
44,1635,29,38,9,1859.349976,0,0,-0.07,0,1,1,0
45,1679,30,38,9,1941.785034,0.01,-0.05,-0.04,0,1,1,0
47,1729,30,38,9,2009.825073,-0.01,-0.02,-0.07,0,1,1,0
49,1764,27,34,12,1852.559937,-0.05,-0.04,-0.12,0,1,1,0
51,1819,23,32,15,1709.385010,-0.01,-0.04,-0.04,0,1,1,0
52,1869,25,29,-6,1769.445068,-0.05,-0.04,0.05,0,1,1,0
54,1489,25,34,12,1755.160034,0.01,-0.03,-0.01,0,1,1,0
55,1530,24,32,13,1709.550049,-0.02,-0.06,0.05,0,1,1,0
56,1505,15,21,-3,1156.925049,0,-0.08,0.04,0,1,1,0
56,1495,13,7,-6,880.424988,-0.03,-0.08,0.06,0,1,1,0
56,1498,13,7,-9,881.369995,-0.01,-0.06,0.07,0,1,1,0
